arc_length,Points_0,Points_1,Points_2,STA_NL__SIGM_NOEU_0,STA_NL__SIGM_NOEU_1,STA_NL__SIGM_NOEU_2,STA_NL__SIGM_NOEU_3,STA_NL__SIGM_NOEU_4,STA_NL__SIGM_NOEU_5
0,-2065.08,-5425,-76.1802,384.333,1046.53,366.874,133.039,1.24731,0.89727
2.3125,-2065.08,-5422.69,-76.1802,262.332,999.733,283.61,115.527,0.974633,0.59432
4.625,-2065.08,-5420.38,-76.1802,140.331,952.941,200.346,98.0147,0.701958,0.291371
6.9375,-2065.08,-5418.06,-76.1802,22.7912,906.338,119.322,80.3258,0.439677,-0.0214923
9.25,-2065.08,-5415.75,-76.1802,21.5246,864.687,96.6744,58.0303,0.448292,-0.59274
11.5625,-2065.08,-5413.44,-76.1802,20.258,823.036,74.0265,35.7347,0.456907,-1.16399
13.875,-2065.08,-5411.12,-76.1802,18.7205,783.138,52.1593,14.9137,0.462489,-1.71261
16.1875,-2065.08,-5408.81,-76.1802,13.7996,765.137,40.0449,12.5151,0.430184,-1.97853
18.5,-2065.08,-5406.5,-76.1802,8.87875,747.137,27.9304,10.1165,0.397879,-2.24446
20.8125,-2065.08,-5404.19,-76.1802,4.57495,730.277,16.7653,7.84494,0.365632,-2.49699
23.125,-2065.08,-5401.88,-76.1802,5.21028,722.554,13.1986,6.59064,0.333846,-2.64238
25.4375,-2065.08,-5399.56,-76.1802,5.84561,714.831,9.63185,5.33634,0.30206,-2.78776
27.75,-2065.08,-5397.25,-76.1802,6.38499,707.245,6.37621,4.23627,0.271361,-2.92174
30.0625,-2065.08,-5394.94,-76.1802,6.37296,700.448,4.90817,4.02239,0.246906,-2.99014
32.375,-2065.08,-5392.62,-76.1802,6.36092,693.651,3.44014,3.80852,0.222452,-3.05854
34.6875,-2065.08,-5390.31,-76.1802,6.34448,686.864,2.188,3.64196,0.199254,-3.119
37,-2065.08,-5388,-76.1802,6.30863,680.12,1.88589,3.6836,0.181586,-3.14451
39.3125,-2065.08,-5385.69,-76.1802,6.27278,673.377,1.58377,3.72524,0.163919,-3.17002
41.625,-2065.08,-5383.38,-76.1802,6.21286,666.518,1.36562,3.78738,0.147352,-3.1907
43.9375,-2065.08,-5381.06,-76.1802,6.06866,659.256,1.44149,3.92136,0.134642,-3.19451
46.25,-2065.08,-5378.75,-76.1802,5.92445,651.994,1.51737,4.05534,0.121932,-3.19831
48.5625,-2065.08,-5376.44,-76.1802,5.75993,644.585,1.60323,4.18676,0.110044,-3.19969
50.875,-2065.08,-5374.12,-76.1802,5.53734,636.756,1.71765,4.31091,0.100502,-3.19414
53.1875,-2065.08,-5371.81,-76.1802,5.31476,628.928,1.83206,4.43505,0.0909604,-3.18859
55.5,-2065.08,-5369.5,-76.1802,5.07224,620.967,1.92024,4.5479,0.0819608,-3.18218
57.8125,-2065.08,-5367.19,-76.1802,4.78238,612.691,1.94613,4.6339,0.0742494,-3.17375
60.125,-2065.08,-5364.88,-76.1802,4.49252,604.416,1.97201,4.7199,0.066538,-3.16533
62.4375,-2065.08,-5362.56,-76.1802,4.18818,596.047,1.96484,4.79333,0.059139,-3.15691
64.75,-2065.08,-5360.25,-76.1802,3.8549,587.493,1.89158,4.84162,0.0523645,-3.14852
67.0625,-2065.08,-5357.94,-76.1802,3.52161,578.938,1.81833,4.88992,0.0455901,-3.14013
69.375,-2065.08,-5355.62,-76.1802,3.17966,570.331,1.71843,4.92825,0.0389611,-3.13208
71.6875,-2065.08,-5353.31,-76.1802,2.82299,561.632,1.5732,4.94963,0.0325792,-3.12462
74,-2065.08,-5351,-76.1802,2.46631,552.933,1.42798,4.97102,0.0261973,-3.11716
76.3125,-2065.08,-5348.69,-76.1802,2.10568,544.211,1.26567,4.98594,0.0198535,-3.11001
78.625,-2065.08,-5346.38,-76.1802,1.73928,535.456,1.07847,4.99147,0.0135648,-3.10333
80.9375,-2065.08,-5344.06,-76.1802,1.37288,526.701,0.891276,4.997,0.00727624,-3.09665
83.25,-2065.08,-5341.75,-76.1802,1.00553,517.942,0.694105,4.99936,0.000969323,-3.09002
85.5625,-2065.08,-5339.44,-76.1802,0.63697,509.18,0.484465,4.99775,-0.00536048,-3.08348
87.875,-2065.08,-5337.12,-76.1802,0.268415,500.418,0.274825,4.99614,-0.0116903,-3.07693
90.1875,-2065.08,-5334.81,-76.1802,-0.0999007,491.661,0.0569315,4.99449,-0.0180508,-3.07004
92.5,-2065.08,-5332.5,-76.1802,-0.467958,482.908,-0.169853,4.99279,-0.0244445,-3.06277
94.8125,-2065.08,-5330.19,-76.1802,-0.836016,474.155,-0.396637,4.99109,-0.0308382,-3.05551
97.125,-2065.08,-5327.88,-76.1802,-1.20454,465.403,-0.637476,4.99313,-0.0372282,-3.0474
99.4375,-2065.08,-5325.56,-76.1802,-1.5735,456.652,-0.891362,4.99865,-0.0436147,-3.03852
101.75,-2065.08,-5323.25,-76.1802,-1.94246,447.901,-1.14525,5.00416,-0.0500012,-3.02964
104.062,-2065.08,-5320.94,-76.1802,-2.31529,439.128,-1.42879,5.01898,-0.0562946,-3.01938
106.375,-2065.08,-5318.62,-76.1802,-2.69121,430.337,-1.73607,5.04126,-0.0625136,-3.00802
108.688,-2065.08,-5316.31,-76.1802,-3.06714,421.547,-2.04335,5.06353,-0.0687325,-2.99666
111,-2065.08,-5314,-76.1802,-3.45408,412.686,-2.40713,5.10329,-0.0746958,-2.98341
113.312,-2065.08,-5311.69,-76.1802,-3.8486,403.777,-2.80974,5.15507,-0.0804834,-2.96885
115.625,-2065.08,-5309.38,-76.1802,-4.24311,394.868,-3.21236,5.20685,-0.0862711,-2.95429
117.938,-2065.08,-5307.06,-76.1802,-4.66062,385.803,-3.70708,5.28609,-0.0915513,-2.9374
120.25,-2065.08,-5304.75,-76.1802,-5.09165,376.647,-4.25598,5.38148,-0.0965332,-2.91912
122.562,-2065.08,-5302.44,-76.1802,-5.52268,367.491,-4.80488,5.47687,-0.101515,-2.90085
124.875,-2065.08,-5300.12,-76.1802,-5.99237,358.059,-5.47649,5.60675,-0.105634,-2.8799
