arc_length,Points_0,Points_1,Points_2,STA_NL__SIGM_NOEU_0,STA_NL__SIGM_NOEU_1,STA_NL__SIGM_NOEU_2,STA_NL__SIGM_NOEU_3,STA_NL__SIGM_NOEU_4,STA_NL__SIGM_NOEU_5
0,-2007.08,-5425,-76.1802,22.235,264.079,55.0486,18.1177,4.9911,-3.00229
2.3125,-2007.08,-5422.69,-76.1802,5.24269,223.063,30.7005,13.0105,3.41555,-3.3649
4.625,-2007.08,-5420.38,-76.1802,-11.7497,182.047,6.35241,7.90338,1.84001,-3.7275
6.9375,-2007.08,-5418.06,-76.1802,-28.0133,142.939,-17.1187,3.02261,0.318486,-4.06676
9.25,-2007.08,-5415.75,-76.1802,-25.2848,153.54,-17.735,4.04232,0.205051,-3.79763
11.5625,-2007.08,-5413.44,-76.1802,-22.5562,164.142,-18.3513,5.06203,0.0916151,-3.5285
13.875,-2007.08,-5411.12,-76.1802,-19.9046,174.772,-18.9058,6.03765,-0.0168226,-3.28608
16.1875,-2007.08,-5408.81,-76.1802,-18.2144,185.758,-18.6874,6.46238,-0.0628207,-3.37729
18.5,-2007.08,-5406.5,-76.1802,-16.5242,196.743,-18.469,6.88711,-0.108819,-3.4685
20.8125,-2007.08,-5404.19,-76.1802,-14.93,207.754,-18.1977,7.27025,-0.150314,-3.56033
23.125,-2007.08,-5401.88,-76.1802,-14.1049,218.968,-17.5032,7.32047,-0.15577,-3.65711
25.4375,-2007.08,-5399.56,-76.1802,-13.2797,230.182,-16.8087,7.37069,-0.161225,-3.75389
27.75,-2007.08,-5397.25,-76.1802,-12.4735,241.403,-16.0532,7.39328,-0.165541,-3.84824
30.0625,-2007.08,-5394.94,-76.1802,-11.776,252.659,-14.9469,7.25711,-0.163306,-3.92862
32.375,-2007.08,-5392.62,-76.1802,-11.0786,263.916,-13.8407,7.12094,-0.161072,-4.00901
34.6875,-2007.08,-5390.31,-76.1802,-10.3959,275.082,-12.7293,6.97145,-0.158176,-4.08544
37,-2007.08,-5388,-76.1802,-9.77803,285.85,-11.5952,6.7633,-0.15237,-4.14443
39.3125,-2007.08,-5385.69,-76.1802,-9.16013,296.619,-10.4612,6.55515,-0.146565,-4.20342
41.625,-2007.08,-5383.38,-76.1802,-8.55893,307.242,-9.36778,6.35127,-0.140503,-4.25846
43.9375,-2007.08,-5381.06,-76.1802,-8.01624,317.36,-8.41675,6.16237,-0.133542,-4.29967
46.25,-2007.08,-5378.75,-76.1802,-7.47356,327.477,-7.46572,5.97347,-0.126581,-4.34089
48.5625,-2007.08,-5376.44,-76.1802,-6.94934,337.448,-6.57657,5.79836,-0.119539,-4.37868
50.875,-2007.08,-5374.12,-76.1802,-6.47788,346.997,-5.86421,5.66263,-0.112266,-4.40673
53.1875,-2007.08,-5371.81,-76.1802,-6.00642,356.546,-5.15185,5.5269,-0.104992,-4.43478
55.5,-2007.08,-5369.5,-76.1802,-5.55008,365.979,-4.49973,5.40708,-0.0977359,-4.46013
57.8125,-2007.08,-5367.19,-76.1802,-5.12964,375.138,-3.99075,5.32506,-0.0905204,-4.47909
60.125,-2007.08,-5364.88,-76.1802,-4.7092,384.297,-3.48176,5.24304,-0.083305,-4.49805
62.4375,-2007.08,-5362.56,-76.1802,-4.29877,393.38,-3.01978,5.17452,-0.0761523,-4.51502
64.75,-2007.08,-5360.25,-76.1802,-3.90837,402.313,-2.65178,5.13302,-0.069125,-4.52799
67.0625,-2007.08,-5357.94,-76.1802,-3.51796,411.246,-2.28377,5.09151,-0.0620977,-4.54096
69.375,-2007.08,-5355.62,-76.1802,-3.13275,420.14,-1.94671,5.05951,-0.0551548,-4.55256
71.6875,-2007.08,-5353.31,-76.1802,-2.75638,428.969,-1.66226,5.04367,-0.0483552,-4.56185
74,-2007.08,-5351,-76.1802,-2.38001,437.797,-1.37782,5.02783,-0.0415557,-4.57113
76.3125,-2007.08,-5348.69,-76.1802,-2.00534,446.612,-1.11094,5.0176,-0.0348478,-4.57963
78.625,-2007.08,-5346.38,-76.1802,-1.63317,455.409,-0.869634,5.01552,-0.0282733,-4.58698
80.9375,-2007.08,-5344.06,-76.1802,-1.26099,464.205,-0.628327,5.01344,-0.0216988,-4.59432
83.25,-2007.08,-5341.75,-76.1802,-0.888601,473.004,-0.396538,5.01366,-0.0152091,-4.60143
85.5625,-2007.08,-5339.44,-76.1802,-0.515951,481.804,-0.176647,5.01675,-0.00882527,-4.60823
87.875,-2007.08,-5337.12,-76.1802,-0.143301,490.605,0.0432434,5.01984,-0.00244144,-4.61504
90.1875,-2007.08,-5334.81,-76.1802,0.229919,499.412,0.255029,5.02211,0.00388995,-4.62214
92.5,-2007.08,-5332.5,-76.1802,0.603752,508.226,0.458085,5.02351,0.0101649,-4.62957
94.8125,-2007.08,-5330.19,-76.1802,0.977584,517.04,0.66114,5.0249,0.0164398,-4.637
97.125,-2007.08,-5327.88,-76.1802,1.35029,525.851,0.84952,5.02159,0.022739,-4.64526
99.4375,-2007.08,-5325.56,-76.1802,1.72195,534.66,1.02428,5.01392,0.0290609,-4.65427
101.75,-2007.08,-5323.25,-76.1802,2.09361,543.468,1.19903,5.00625,0.0353828,-4.66328
104.062,-2007.08,-5320.94,-76.1802,2.4595,552.247,1.34329,4.9881,0.0418905,-4.67353
106.375,-2007.08,-5318.62,-76.1802,2.82079,561.002,1.46315,4.96156,0.048547,-4.68476
108.688,-2007.08,-5316.31,-76.1802,3.18208,569.757,1.58302,4.93502,0.0552035,-4.69599
111,-2007.08,-5314,-76.1802,3.52841,578.425,1.64761,4.88973,0.0623576,-4.70851
113.312,-2007.08,-5311.69,-76.1802,3.86447,587.032,1.67423,4.83154,0.0698537,-4.72193
115.625,-2007.08,-5309.38,-76.1802,4.20053,595.639,1.70086,4.77335,0.0773498,-4.73535
117.938,-2007.08,-5307.06,-76.1802,4.50677,604.063,1.64573,4.68722,0.0859206,-4.74925
120.25,-2007.08,-5304.75,-76.1802,4.79545,612.38,1.54252,4.58466,0.0951234,-4.76345
122.562,-2007.08,-5302.44,-76.1802,5.08414,620.696,1.43931,4.48209,0.104326,-4.77765
124.875,-2007.08,-5300.12,-76.1802,5.32418,628.699,1.25101,4.34825,0.115637,-4.78959
127.188,-2007.08,-5297.81,-76.1802,5.53988,636.547,1.02014,4.19877,0.128003,-4.8004
129.5,-2007.08,-5295.5,-76.1802,5.75558,644.394,0.789271,4.04929,0.140368,-4.81121
131.812,-2007.08,-5293.19,-76.1802,5.90679,651.814,0.552141,3.88862,0.156634,-4.81291
